Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jul,1965
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jul,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1965
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Jul,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Jul,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jul,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jul,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1965
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jun,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,May,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,May,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,May,1965
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,May,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Mar,1965
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Mar,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Mar,1965
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Mar,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1965
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Feb,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1965
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Feb,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Feb,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1965
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Feb,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jan,1965
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jan,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jan,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jan,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1965
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,1964
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Dec,1964
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Dec,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Dec,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1964
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Nov,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Oct,1964
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Oct,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Oct,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Oct,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1964
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Sep,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Sep,1964
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Sep,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Aug,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1964
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Aug,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Jul,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jul,1964
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jul,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jul,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1964
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Jun,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1964
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,May,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Apr,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1964
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Apr,1964
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Mar,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Mar,1964
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Feb,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Feb,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jan,1964
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1964
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Jan,1964
NASA,SLC-5,Vandenberg AFB,California,USA,Dec,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Dec,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Dec,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1963
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Oct,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Oct,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1963
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Oct,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Sep,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Sep,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Aug,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Aug,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jul,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jul,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Jun,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Jun,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Jun,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,May,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,May,1963
NASA,LC-14,Cape Canaveral AFS,Florida,USA,May,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,May,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Apr,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Apr,1963
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,Apr,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Apr,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Feb,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jan,1963
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1962
US Air Force,SLC-5,Vandenberg AFB,California,USA,Dec,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1962
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Dec,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1962
